exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,position,age
6267c940833672234dbf275d,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.8838,0.2627,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267c940833672234dbf275e,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.8838,5.4912,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267c940833672234dbf275f,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.8838,0.7324,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267c940833672234dbf2760,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.8839,0.7495,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267c940833672234dbf2761,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.884,6.1298,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267c940833672234dbf2762,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.884,1.9122,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267c940833672234dbf2763,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.884,0.371,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267c940833672234dbf2764,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.884,0.5869,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267c940833672234dbf2765,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.884,1.3243,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267c940833672234dbf2766,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650968896000,BLCUT180656a2206f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.884,32.4399,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267e12c833672234dbfc4d4,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650975020000,BLCUT18065c793e2f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.8854,9.9999,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267e1ba833672234dbfc7b7,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650975162000,BLCUT18065c9beabf1e12b9b5db4f37509b010cf,BUY,LIMIT,0.887,49.9999,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267e20b833672234dbfc950,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650975243500,SLCUT18065cafceef1e12b9b5db4f37509b010cf,SELL,LIMIT,0.8862,28.5071,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
6267e73e833672234dbfea3e,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650976574500,BLCUT18065df4c28f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.8883,29.4927,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,n/a
6267e8d4833672234dbff842,conf_xemm_1.yml,cross_exchange_market_making,kucoin,LRC-USDT,LRC,USDT,1650976980500,BLCUT18065e57e18f1e12b9b5db4f37509b010cf,BUY,LIMIT,0.8818,29.4927,1,"{'fee_type': 'AddedToCost', 'percent': '0.001', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
